,Name,NA_Sales,EU_Sales,JP_Sales,Other_Sales
3319,Tomb Raider Chronicles,0.34,0.23,0.0,0.04
3320,Harry Potter and the Goblet of Fire,0.44,0.16,0.0,0.01
3321,Dragon Ball Z: Buu's Fury,0.44,0.16,0.0,0.01
3322,Madden NFL 2002,0.47,0.12,0.0,0.02
3323,Guitar Hero: Smash Hits,0.33,0.21,0.0,0.06
3324,Disney TH!NK Fast: The Ultimate Trivia Showdown,0.37,0.16,0.01,0.06
3325,Spider-Man: Mysterio's Menace,0.43,0.16,0.0,0.01
3326,Madden NFL 2000,0.58,0.02,0.0,0.0
3327,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",0.51,0.05,0.0,0.05
3328,Game & Watch Gallery 4,0.43,0.16,0.0,0.01
3329,Littlest Pet Shop: Jungle,0.34,0.2,0.0,0.06
3330,Naruto: Ultimate Ninja,0.5,0.02,0.0,0.08
3331,Fighters Uncaged,0.31,0.24,0.0,0.06
3332,Call of Juarez: Bound in Blood,0.3,0.24,0.0,0.06
3333,New Play Control! Pikmin 2,0.11,0.14,0.33,0.02
3334,Tony Hawk's Underground,0.43,0.16,0.0,0.01
3335,Hot Shots Golf: World Invitational,0.19,0.11,0.25,0.06
3336,Monster Trucks,0.43,0.16,0.0,0.01
3337,Shadow The Hedgehog,0.5,0.02,0.0,0.08
3338,Wave Race: Blue Storm,0.4,0.1,0.09,0.02
3339,Backyard Wrestling: Don't Try This at Home,0.3,0.23,0.0,0.08
3340,Fight Night Round 2,0.42,0.16,0.0,0.02
3341,MonHun Nikki: Poka Poka Ailu Mura,0.0,0.0,0.6,0.0
3342,The Golden Compass,0.28,0.25,0.0,0.06
3343,NBA 2K8,0.5,0.02,0.0,0.08
3344,Phineas and Ferb: Across the 2nd Dimension,0.36,0.19,0.0,0.05
3345,Disney Infinity,0.33,0.22,0.0,0.05
3346,The Golden Compass,0.26,0.28,0.0,0.07
3347,WarioWare D.I.Y.,0.18,0.19,0.2,0.04
3348,Tony Hawk: RIDE,0.38,0.15,0.0,0.08
3349,LEGO Jurassic World,0.31,0.22,0.03,0.05
3350,Alice: Madness Returns,0.22,0.25,0.04,0.09
3351,LEGO The Hobbit,0.12,0.37,0.0,0.1
3352,Suikoden,0.21,0.14,0.21,0.04
3353,Secret Agent Clank,0.13,0.18,0.0,0.29
3354,Rayman Arena,0.29,0.23,0.0,0.08
3355,Avatar: The Game,0.22,0.24,0.0,0.14
3356,Jaws Unleashed,0.5,0.02,0.0,0.08
3357,Puyo Puyo Sun,0.0,0.0,0.6,0.0
3358,Half-Life,0.29,0.23,0.0,0.08
3359,Tomb Raider (2013),0.34,0.21,0.0,0.05
3360,Mickey's Speedway USA,0.37,0.08,0.14,0.01
3361,International Superstar Soccer 64,0.09,0.26,0.23,0.02
3362,Skylanders SWAP Force,0.4,0.15,0.0,0.06
3363,NASCAR Heat 2002,0.29,0.23,0.0,0.08
3364,Disney Sing It! High School Musical 3: Senior Year,0.32,0.23,0.0,0.04
3365,From TV Animation One Piece: Grand Battle 2,0.0,0.0,0.56,0.04
3366,BeatMania Append 3rdMix,0.0,0.0,0.56,0.04
3367,PGR3 - Project Gotham Racing 3,0.49,0.03,0.03,0.05
3368,XCOM: Enemy Unknown,0.24,0.25,0.0,0.11
3369,Blur,0.25,0.28,0.0,0.06
3370,Xena: Warrior Princess,0.33,0.23,0.0,0.04
3371,Scribblenauts: Unlimited,0.55,0.01,0.0,0.04
3372,Front Mission,0.0,0.0,0.6,0.0
3373,NHL 11,0.4,0.13,0.0,0.07
3374,Kinect Rush: A Disney Pixar Adventure,0.38,0.16,0.0,0.05
3375,Monopoly,0.34,0.2,0.0,0.06
3376,Disney Infinity 2.0: Marvel Super Heroes,0.26,0.24,0.0,0.1
3377,Major League Baseball 2K7,0.29,0.23,0.0,0.08
3378,Asphalt: Urban GT,0.31,0.22,0.0,0.06
3379,The Fight: Lights Out,0.29,0.22,0.0,0.09
3380,Dai-2-Ji Super Robot Taisen α,0.0,0.0,0.6,0.0
3381,Pokemon Trozei!,0.26,0.0,0.31,0.02
3382,Dead Space,0.0,0.53,0.0,0.06
3383,Hot Wheels: Stunt Track Challenge,0.29,0.23,0.0,0.08
3384,Rayman Origins,0.13,0.35,0.0,0.11
3385,London 2012: The Official Video Game of the Olympic Games,0.07,0.46,0.0,0.07
3386,Beijing 2008,0.15,0.38,0.0,0.07
3387,Dai-3-Ji Super Robot Taisen α: Shuuen no Ginga e,0.0,0.0,0.59,0.0
3388,Jeopardy!,0.56,0.0,0.0,0.03
3389,Jikkyou Powerful Pro Yakyuu '97 Kaimakuban,0.0,0.0,0.56,0.04
3390,Assassin's Creed: Brotherhood,0.15,0.34,0.0,0.1
3391,CyberTiger,0.33,0.22,0.0,0.04
3392,Jampack Fall 2001,0.33,0.22,0.0,0.04
3393,Medal of Honor: Frontline,0.46,0.12,0.0,0.02
3394,Final Fantasy: The 4 Heroes of Light,0.23,0.11,0.23,0.03
3395,Iron Man,0.31,0.22,0.0,0.06
3396,Kane & Lynch 2: Dog Days,0.17,0.28,0.05,0.1
3397,NFL Blitz 2001,0.33,0.22,0.0,0.04
3398,Total War: Shogun 2,0.19,0.31,0.0,0.09
3399,Jikkyou Powerful Pro Yakyuu '98 Kaimakuban,0.0,0.0,0.55,0.04
3400,Rock Band 2,0.29,0.23,0.0,0.08
3401,Yakuza 5,0.0,0.0,0.59,0.0
3402,LEGO Indiana Jones 2: The Adventure Continues,0.21,0.24,0.0,0.14
3403,BurgerTime,0.55,0.03,0.0,0.01
3404,Naruto: The Broken Bond,0.24,0.28,0.0,0.07
3405,2002 FIFA World Cup,0.21,0.17,0.16,0.06
3406,MVP Baseball 2004,0.44,0.13,0.0,0.02
3407,Crash Bandicoot: The Wrath of Cortex,0.46,0.12,0.0,0.02
3408,Smurf: Rescue In Gargamel's Castle,0.55,0.03,0.0,0.01
3409,Spelling Challenges and more!,0.54,0.0,0.0,0.04
3410,Go Diego Go! Great Dinosaur Rescue,0.53,0.02,0.0,0.04
3411,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",0.52,0.03,0.0,0.04
3412,Extreme-G,0.47,0.11,0.0,0.01
3413,Ready 2 Rumble Boxing,0.47,0.11,0.0,0.01
3414,Payday 2,0.33,0.21,0.0,0.05
3415,Dead or Alive Xtreme Beach Volleyball,0.36,0.08,0.14,0.02
3416,Tales of Rebirth,0.0,0.0,0.59,0.0
3417,SoulCalibur V,0.39,0.14,0.02,0.04
3418,NHL 12,0.36,0.16,0.0,0.07
3419,Tales of Zestiria,0.05,0.09,0.42,0.03
3420,Silent Hill: Shattered Memories,0.13,0.22,0.01,0.23
3421,Madden NFL 06,0.54,0.0,0.01,0.03
3422,Skate it,0.51,0.04,0.0,0.05
3423,Game Party in Motion,0.36,0.18,0.0,0.05
3424,Barbie: Race & Ride,0.33,0.22,0.0,0.04
3425,Lost: Via Domus,0.18,0.34,0.0,0.07
3426,Mega Man Anniversary Collection,0.29,0.22,0.0,0.08
3427,Final Fantasy Anniversary Edition,0.39,0.02,0.13,0.04
3428,Dark Souls II,0.2,0.22,0.08,0.08
3429,Ben 10: Alien Force,0.35,0.14,0.0,0.1
3430,Deus Ex: Human Revolution,0.25,0.25,0.0,0.09
3431,Zumba Fitness,0.28,0.21,0.0,0.09
3432,Harvest Moon: Friends of Mineral Town,0.34,0.13,0.11,0.01
3433,Backyard NBA Basketball,0.29,0.22,0.0,0.07
3434,FIFA Soccer 10,0.14,0.37,0.0,0.07
3435,Kirby's Dream Course,0.0,0.0,0.59,0.0
3436,Doom 3 BFG Edition,0.26,0.22,0.0,0.1
3437,Mega Man X7,0.22,0.17,0.14,0.06
3438,Top Spin 3,0.15,0.37,0.0,0.07
3439,Petz Dogz 2,0.53,0.01,0.0,0.04
3440,SpongeBob SquarePants featuring Nicktoons: Globs of Doom,0.29,0.22,0.0,0.07
3441,The Conduit,0.29,0.23,0.0,0.06
3442,Just Dance 2016,0.28,0.25,0.0,0.05
3443,Tokimeki Memorial: Forever with You,0.0,0.0,0.55,0.04
3444,Diablo,0.29,0.19,0.07,0.04
3445,Cabela's Dangerous Hunts 2011,0.53,0.02,0.0,0.04
3446,NHL 15,0.3,0.18,0.0,0.1
3447,Q*bert,0.55,0.03,0.0,0.01
3448,Romancing SaGa,0.06,0.04,0.47,0.01
3449,The Lord of the Rings: The Third Age,0.49,0.02,0.0,0.08
3450,Harvest Moon: Sunshine Islands,0.35,0.03,0.17,0.03
3451,Trivial Pursuit,0.21,0.31,0.0,0.07
3452,The Legend of Spyro: Dawn of the Dragon,0.35,0.18,0.0,0.05
3453,The Sims 3: World Adventures,0.02,0.18,0.0,0.39
3454,Kinect Sports Rivals,0.3,0.22,0.02,0.04
3455,Rayman Origins,0.23,0.29,0.0,0.07
3456,WWE 2K16,0.31,0.22,0.0,0.05
3457,Titanfall,0.21,0.3,0.0,0.07
3458,NCAA Football 09,0.54,0.0,0.0,0.04
3459,Tom Clancy's HAWX,0.31,0.19,0.02,0.06
3460,Sammy Sosa High Heat Baseball 2001,0.32,0.22,0.0,0.04
3461,Frozen: Olaf's Quest,0.27,0.26,0.0,0.05
3462,Terminator 3: Rise of the Machines,0.28,0.22,0.0,0.07
3463,"Transformers: War for Cybertron (XBox 360, PS3, & PC Versions)",0.37,0.15,0.0,0.05
3464,Harvest Moon: The Tale of Two Towns,0.27,0.06,0.22,0.03
3465,FIFA: Road to  World Cup 98,0.15,0.39,0.0,0.03
3466,World Cup 98,0.14,0.4,0.0,0.04
3467,International Superstar Soccer '98,0.06,0.3,0.19,0.03
3468,NASCAR: Dirt to Daytona,0.28,0.22,0.0,0.07
3469,Unreal Tournament,0.28,0.22,0.0,0.07
3470,Digimon World 2,0.23,0.16,0.16,0.04
3471,Tales of Phantasia,0.0,0.0,0.54,0.04
3472,Prince of Persia: The Two Thrones,0.33,0.22,0.0,0.03
3473,Xenosaga Episode II: Jenseits von Gut und Böse,0.28,0.22,0.0,0.07
3474,Gex: Enter the Gecko,0.32,0.22,0.0,0.04
3475,Shrek 2: Beg for Mercy,0.42,0.15,0.0,0.01
3476,Mega Man Star Force 2: Zerker x Ninja / Saurian,0.25,0.0,0.31,0.02
3477,JoJo's Bizarre Adventure: All Star Battle,0.05,0.02,0.5,0.01
3478,Petz Nursery,0.53,0.0,0.0,0.04
3479,Contra: Shattered Soldier,0.28,0.22,0.0,0.07
3480,Championship Motocross featuring Ricky Carmichael,0.32,0.22,0.0,0.04
3481,Dragon Ball Z: Chou Saiya Densetsu,0.0,0.0,0.58,0.0
3482,NBA 2K7,0.53,0.0,0.0,0.04
3483,WWE 2K16,0.21,0.27,0.0,0.09
3484,Phoenix Wright: Ace Attorney - Justice for All,0.24,0.05,0.26,0.03
3485,Fire Emblem: Seisen no Keifu,0.0,0.0,0.58,0.0
3486,Rock Band 3,0.43,0.09,0.0,0.06
3487,Disgaea 4: A Promise Unforgotten,0.27,0.11,0.14,0.06
3488,BlazBlue: Calamity Trigger,0.36,0.1,0.06,0.06
3489,Tenchu 2: Birth of the Stealth Assassins,0.32,0.22,0.0,0.04
3490,Tony Hawk's Pro Skater 4,0.45,0.12,0.0,0.02
3491,MLB 11: The Show,0.54,0.0,0.0,0.04
3492,Naruto: Uzumaki Chronicles 2,0.28,0.22,0.0,0.07
3493,NHL 06,0.48,0.02,0.0,0.08
3494,NHL 10,0.38,0.12,0.0,0.07
3495,Rooms: The Main Building,0.1,0.41,0.01,0.06
3496,Rapala: We Fish,0.52,0.02,0.0,0.04
3497,Parasite Eve II,0.32,0.22,0.0,0.04
3498,Tetris Party Deluxe,0.34,0.17,0.02,0.05
3499,NFL Blitz 2000,0.55,0.02,0.0,0.0
3500,Ratchet & Clank: Quest for Booty,0.0,0.53,0.0,0.04
3501,Madden NFL 2002,0.53,0.02,0.0,0.03
3502,NCAA Football 10,0.28,0.22,0.0,0.07
3503,Top Spin 3,0.08,0.37,0.0,0.12
3504,Shin Megami Tensei IV,0.28,0.0,0.27,0.02
3505,Theme Park,0.24,0.16,0.13,0.04
3506,Blacksite: Area 51,0.29,0.23,0.0,0.06
3507,Spider-Man 3,0.49,0.04,0.0,0.04
3508,ATV Offroad Fury: Blazin' Trails,0.53,0.0,0.0,0.04
3509,Far Cry Instincts,0.32,0.24,0.0,0.02
3510,Hasbro Family Game Night,0.28,0.22,0.0,0.07
3511,Tony Hawk's Pro Skater 4,0.41,0.15,0.0,0.01
3512,Up,0.23,0.28,0.0,0.06
3513,Tales of the Abyss,0.0,0.0,0.57,0.0
3514,Disney Universe,0.37,0.15,0.0,0.05
3515,Iron Man,0.27,0.24,0.0,0.06
3516,Mobile Suit Gundam: Giren no Yabou- Zeon no Keifu,0.0,0.0,0.54,0.04
3517,Spyro Orange: The Cortex Conspiracy,0.41,0.15,0.0,0.01
3518,Enslaved: Odyssey to the West,0.24,0.24,0.01,0.09
3519,SpongeBob SquarePants featuring Nicktoons: Globs of Doom,0.53,0.0,0.0,0.04
3520,Beyond The Beyond,0.11,0.08,0.35,0.04
3521,Ben 10: Alien Force,0.22,0.02,0.0,0.33
3522,Tomb Raider: Anniversary,0.21,0.23,0.0,0.13
3523,"Warhammer 40,000: Space Marine",0.25,0.27,0.0,0.06
3524,Madden NFL 06,0.44,0.11,0.0,0.02
3525,No More Heroes,0.3,0.17,0.04,0.05
3526,Assassin's Creed II,0.01,0.45,0.0,0.11
3527,Petz Wild Animals: Tigerz,0.52,0.01,0.0,0.04
3528,Naruto: Ultimate Ninja 2,0.47,0.02,0.0,0.08
3529,Defiance,0.38,0.15,0.0,0.04
3530,Dogz,0.51,0.02,0.0,0.04
3531,3D Dot Game Heroes,0.36,0.12,0.03,0.07
3532,The Mysterious Murasame Castle,0.0,0.0,0.57,0.0
3533,NBA Hangtime,0.48,0.08,0.0,0.0
3534,Jillian Michaels Fitness Ultimatum 2010,0.52,0.01,0.0,0.04
3535,Pro Evolution Soccer 2012,0.1,0.12,0.29,0.07
3536,Grease,0.27,0.25,0.0,0.05
3537,Blood Wake,0.43,0.12,0.0,0.02
3538,Dynasty Warriors 5: Xtreme Legends,0.11,0.08,0.35,0.03
3539,Skylanders: Spyro's Adventure,0.32,0.2,0.0,0.05
3540,Dora The Explorer: Dora Saves the Snow Princess,0.5,0.03,0.0,0.04
3541,Jampack Summer 2002,0.28,0.22,0.0,0.07
3542,FIFA World Cup Germany 2006,0.47,0.02,0.0,0.08
3543,Wreckless: ThE YaKuza MisSiOns,0.42,0.11,0.02,0.02
3544,Super Bomberman,0.0,0.0,0.57,0.0
3545,SpongeBob SquarePants: Battle for Bikini Bottom,0.45,0.1,0.0,0.02
3546,Spec Ops: The Line,0.19,0.25,0.04,0.09
3547,SD Gundam G Generation Neo,0.0,0.0,0.57,0.0
3548,Bratz 4 Real,0.29,0.22,0.0,0.06
3549,RalliSport Challenge,0.39,0.16,0.0,0.02
3550,Resident Evil Outbreak File #2,0.19,0.15,0.17,0.05
3551,Bob the Builder: Can We Fix It?,0.31,0.21,0.0,0.04
3552,XIII,0.28,0.22,0.0,0.07
3553,NHL 14,0.28,0.19,0.0,0.09
3554,LEGO Rock Band,0.4,0.12,0.0,0.05
3555,Bolt,0.19,0.31,0.0,0.06
3556,Top Spin 3,0.09,0.4,0.0,0.07
3557,Tom Clancy's HAWX,0.21,0.22,0.05,0.09
3558,LEGO Dimensions,0.24,0.28,0.0,0.05
3559,Breath of Fire IV,0.11,0.08,0.34,0.04
3560,True Crime: Streets of LA,0.44,0.11,0.0,0.02
3561,Odin Sphere,0.23,0.18,0.09,0.06
3562,Donkey Kong Jungle Climber,0.26,0.04,0.24,0.03
3563,The Incredible Hulk,0.4,0.15,0.0,0.01
3564,Ms. Pac-Man Maze Madness,0.4,0.15,0.0,0.01
3565,Arena Football,0.28,0.22,0.0,0.07
3566,The Lord of the Rings: The Return of the King,0.4,0.15,0.0,0.01
3567,NHL Hitz 20-02,0.28,0.22,0.0,0.07
3568,Classic NES Series: Dr. Mario,0.31,0.11,0.13,0.01
3569,The Sims: Bustin' Out,0.4,0.14,0.0,0.02
3570,NCAA March Madness 07,0.28,0.22,0.0,0.07
3571,"Monsters, Inc. Scream Team",0.31,0.21,0.0,0.04
3572,Harry Potter Collection,0.28,0.21,0.0,0.07
3573,Tony Hawk's Project 8,0.41,0.08,0.0,0.07
3574,Yu-Gi-Oh! World Championship Tournament 2004,0.4,0.15,0.0,0.01
3575,Cabela's Big Game Hunter 2005 Adventures,0.28,0.21,0.0,0.07
3576,Hotel Dusk: Room 215,0.27,0.05,0.22,0.03
3577,Knockout Kings 2001,0.28,0.21,0.0,0.07
3578,Army Men: Sarge's Heroes,0.31,0.21,0.0,0.04
3579,Phineas and Ferb: Across the 2nd Dimension,0.32,0.19,0.0,0.05
3580,Petz Dogz 2,0.28,0.21,0.0,0.07
3581,Battlefield 2: Modern Combat,0.39,0.15,0.0,0.02
3582,Wolfenstein,0.28,0.22,0.0,0.06
3583,All-Star Baseball 2002,0.27,0.21,0.0,0.07
3584,Backyard NFL Football,0.4,0.15,0.0,0.01
3585,Need for Speed: Most Wanted,0.43,0.11,0.0,0.02
3586,NASCAR Rumble,0.31,0.21,0.0,0.04
3587,Tony Hawk: Shred,0.41,0.11,0.0,0.04
3588,Tony Hawk's Proving Ground,0.49,0.02,0.0,0.04
3589,WWE Raw 2,0.43,0.11,0.0,0.02
3590,Resident Evil 2,0.39,0.09,0.07,0.01
3591,Mega Man X2,0.09,0.02,0.45,0.0
3592,Manhunt 2,0.27,0.21,0.0,0.07
3593,Xenoblade Chronicles,0.26,0.14,0.12,0.04
3594,Fullmetal Alchemist and the Broken Angel,0.15,0.12,0.26,0.04
3595,Monster High: Ghoul Spirit,0.44,0.08,0.0,0.04
3596,Final Fantasy IV: The Complete Collection,0.13,0.09,0.27,0.06
3597,Frontlines: Fuel of War,0.34,0.15,0.01,0.05
3598,Lips: Number One Hits,0.15,0.35,0.0,0.07
3599,Hamtaro: Ham-Hams Unite!,0.0,0.0,0.56,0.0
3600,Batman Begins,0.27,0.21,0.0,0.07
3601,Viva Pinata: Pocket Paradise,0.27,0.23,0.0,0.06
3602,Dr. Seuss' The Cat in the Hat,0.27,0.21,0.0,0.07
3603,Barbie Groovy Games,0.4,0.15,0.0,0.01
3604,Yu-Gi-Oh! Reshef of Destruction,0.4,0.15,0.0,0.01
3605,Blinx: The Time Sweeper,0.39,0.15,0.0,0.02
3606,Madagascar: Escape 2 Africa,0.32,0.18,0.0,0.05
3607,Archer Maclean's Mercury,0.17,0.24,0.0,0.14
3608,ESPN NFL Football,0.27,0.21,0.0,0.07
3609,Fatal Fury Special,0.0,0.0,0.56,0.0
3610,Catz,0.49,0.02,0.0,0.04
3611,Major League Baseball 2K5,0.52,0.02,0.0,0.02
3612,DS Bimoji Training,0.0,0.0,0.56,0.0
3613,WWE 2K15,0.28,0.23,0.0,0.04
3614,Petz Catz Clan,0.48,0.04,0.0,0.04
3615,Soul Sacrifice,0.18,0.09,0.22,0.06
3616,G-Force,0.27,0.23,0.0,0.06
3617,Tiger Woods PGA Tour 11,0.24,0.26,0.0,0.06
3618,Soldier of Fortune: Gold Edition,0.27,0.21,0.0,0.07
3619,Rune Factory: A Fantasy Harvest Moon,0.37,0.02,0.14,0.03
3620,Monster Jam: Path of Destruction,0.5,0.02,0.0,0.03
3621,Rapala Tournament Fishing!,0.51,0.0,0.0,0.04
3622,MX 2002 Featuring Ricky Carmichael,0.27,0.21,0.0,0.07
3623,Purr Pals,0.18,0.36,0.0,0.02
3624,NCAA Football 07,0.42,0.12,0.0,0.01
3625,God of War: Origins Collection,0.39,0.08,0.02,0.06
3626,MX vs. ATV: Alive,0.37,0.14,0.0,0.05
3627,Lunar: Silver Star Story Complete,0.27,0.18,0.06,0.04
3628,Dragon Ball: XenoVerse,0.15,0.2,0.14,0.07
3629,NBA Showtime: NBA on NBC,0.31,0.21,0.0,0.04
3630,ZhuZhu Pets 2: Featuring The Wild Bunch,0.41,0.11,0.0,0.04
3631,Dragon Age: Inquisition,0.35,0.16,0.0,0.05
3632,Soul Reaver 2,0.27,0.21,0.0,0.07
3633,Metal Gear Solid 3: Subsistence,0.34,0.01,0.15,0.06
3634,Sly Cooper: Thieves in Time,0.35,0.13,0.0,0.08
3635,The Godfather (old US sales),0.42,0.11,0.0,0.02
3636,Daytona USA,0.0,0.0,0.55,0.0
3637,Harry Potter and the Deathly Hallows - Part 1,0.22,0.28,0.0,0.05
3638,Tiger Woods PGA Tour 13,0.24,0.22,0.0,0.09
3639,WWF Raw,0.4,0.13,0.0,0.02
3640,Shin Super Robot Taisen,0.0,0.0,0.52,0.04
3641,Jump Super Stars,0.0,0.0,0.55,0.0
3642,Legends of WrestleMania,0.3,0.17,0.0,0.07
3643,The Activision Decathlon,0.52,0.03,0.0,0.01
3644,Simple 1500 Series Vol. 73: The Invaders ~Space Invaders 1500~,0.31,0.21,0.0,0.04
3645,50 Classic Games,0.52,0.0,0.0,0.04
3646,Fighting Force 2,0.31,0.21,0.0,0.04
3647,Sakura Wars,0.0,0.0,0.55,0.0
3648,Yokai Sangokushi,0.0,0.0,0.55,0.0
3649,Extermination,0.21,0.16,0.12,0.05
3650,Batman: Vengeance,0.27,0.21,0.0,0.07
3651,Unit 13,0.29,0.15,0.04,0.07
3652,Tatsunoko vs. Capcom: Ultimate All-Stars,0.32,0.16,0.03,0.05
3653,TMNT,0.47,0.04,0.0,0.04
3654,F.E.A.R.,0.18,0.27,0.0,0.1
3655,Secret Agent Clank(US sales),0.33,0.22,0.0,0.0
3656,Assassin's Creed: Unity,0.17,0.33,0.0,0.05
3657,Derby Stallion 04,0.0,0.0,0.55,0.0
3658,NBA 2K8,0.5,0.01,0.0,0.05
3659,Barbie Horse Adventures: Riding Camp,0.51,0.0,0.0,0.04
3660,CrossworDS,0.51,0.0,0.0,0.04
3661,Tony Hawk's Pro Skater 3,0.34,0.18,0.0,0.02
3662,Mega Man Zero,0.22,0.08,0.24,0.01
3663,Contender 2,0.31,0.21,0.0,0.04
3664,The Amazing Spider-Man 2 (2014),0.2,0.25,0.02,0.09
3665,Star Wars: Dark Forces,0.31,0.21,0.0,0.04
3666,SD Gundam G Generation Zero,0.0,0.0,0.51,0.04
3667,Super Robot Taisen F,0.0,0.0,0.55,0.0
3668,Shrek 2,0.4,0.13,0.0,0.02
3669,Soccer Tsuku 2002: J-League Pro Soccer Club o Tsukurou!,0.0,0.0,0.55,0.0
3670,Time Crisis: Razing Storm,0.18,0.21,0.07,0.08
3671,SpongeBob SquarePants: SuperSponge,0.39,0.15,0.0,0.01
3672,Super Robot Taisen F Kanketsuhen,0.0,0.0,0.55,0.0
3673,Enslaved: Odyssey to the West,0.3,0.19,0.0,0.05
3674,Rune Factory 4,0.31,0.0,0.21,0.03
3675,Summer Sports: Paradise Island,0.49,0.02,0.0,0.04
3676,Tak and the Power of Juju,0.39,0.15,0.0,0.01
3677,Dynasty Warriors: Gundam 3,0.11,0.05,0.36,0.02
3678,Mortal Kombat 3,0.29,0.2,0.02,0.04
3679,Turok: Evolution,0.39,0.14,0.0,0.02
3680,Jak X: Combat Racing,0.45,0.02,0.0,0.07
3681,Metro 2033,0.22,0.24,0.03,0.05
3682,Are You Smarter than a 5th Grader? Make the Grade,0.51,0.0,0.0,0.04
3683,American Idol,0.27,0.21,0.0,0.07
3684,Top Gun: Fire at Will!,0.3,0.21,0.0,0.04
3685,Red Dead Revolver,0.4,0.12,0.0,0.02
3686,Dragon Ball Z: Shin Budokai,0.26,0.08,0.13,0.07
3687,LEGO The Hobbit,0.12,0.32,0.0,0.1
3688,Iron Man,0.36,0.0,0.0,0.19
3689,SingStar Summer Party,0.0,0.06,0.0,0.48
3690,Tiger Woods PGA Tour 08,0.49,0.02,0.0,0.04
3691,NBA Live 10,0.46,0.03,0.01,0.05
3692,The SpongeBob SquarePants Movie,0.4,0.12,0.0,0.02
3693,FIFA Soccer 07,0.16,0.35,0.0,0.04
3694,Gekikuukan Pro Yakyuu: At the End of the Century 1999,0.0,0.0,0.54,0.0
3695,Medarot 2: Kabuto / Kuwagata Version,0.0,0.0,0.54,0.0
3696,Excite Truck,0.4,0.03,0.08,0.04
3697,Sacred 2: Fallen Angel,0.29,0.17,0.04,0.05
3698,System 3 presents Ferrari Challenge Trofeo Pirelli,0.07,0.4,0.0,0.07
3699,Dance Dance Revolution Ultramix,0.42,0.11,0.0,0.02
3700,ModNation Racers,0.11,0.27,0.02,0.14
3701,Crash Tag Team Racing,0.27,0.21,0.0,0.07
3702,Two Worlds II,0.4,0.08,0.03,0.04
3703,Sonic & All-Stars Racing Transformed,0.08,0.33,0.01,0.11
3704,Michael Jackson: The Experience,0.25,0.2,0.0,0.08
3705,Front Mission 4,0.14,0.11,0.25,0.04
3706,The Fairly Odd Parents: Breakin' Da Rules,0.39,0.14,0.0,0.01
3707,LEGO Dimensions,0.15,0.3,0.0,0.09
3708,Inazuma Eleven,0.0,0.14,0.38,0.02
3709,Ninokuni: Shikkoku no Madoushi,0.0,0.0,0.54,0.0
3710,Minecraft: Story Mode,0.29,0.21,0.0,0.05
3711,Resident Evil: Revelations 2,0.13,0.24,0.1,0.07
3712,Manhunt 2,0.25,0.23,0.0,0.06
3713,SRS: Street Racing Syndicate,0.26,0.21,0.0,0.07
3714,Despicable Me: The Game - Minion Mayhem,0.42,0.09,0.0,0.04
3715,Def Jam: Fight for NY,0.43,0.1,0.0,0.02
3716,Action Force,0.5,0.03,0.0,0.01
3717,Gauntlet Legends,0.43,0.1,0.0,0.01
3718,FIFA 99,0.11,0.39,0.0,0.03
3719,Kidou Senshi Gundam: Extreme VS,0.0,0.0,0.54,0.0
3720,Dragon Ball Z: Ultimate Tenkaichi,0.39,0.1,0.01,0.04
3721,Tales of Symphonia,0.21,0.13,0.13,0.06
3722,Bust A Groove,0.09,0.06,0.35,0.04
3723,Fire Emblem: Path of Radiance,0.29,0.08,0.16,0.01
3724,Dragon Quest Characters: Torneko no Daibouken 3: Fushigi no Dungeon,0.0,0.0,0.54,0.0
3725,Let's Draw!,0.24,0.23,0.0,0.06
3726,Pachi-Slot Aruze Oukoku 2,0.0,0.0,0.5,0.04
3727,NHL 14,0.4,0.1,0.0,0.04
3728,Valkyria Chronicles II,0.12,0.16,0.18,0.09
3729,Middle-Earth: Shadow of Mordor,0.28,0.21,0.0,0.05
3730,Madden NFL 13,0.51,0.0,0.0,0.03
3731,Rune Factory 2: A Fantasy Harvest Moon,0.33,0.03,0.15,0.03
3732,Terminator Salvation,0.13,0.29,0.01,0.11
3733,Cars 2,0.22,0.23,0.0,0.09
3734,Bratz: Rock Angelz,0.39,0.14,0.0,0.01
3735,How to Train Your Dragon,0.32,0.17,0.0,0.05
3736,SSX Tricky,0.42,0.11,0.0,0.01
3737,WWE SmackDown vs. Raw 2010,0.35,0.14,0.0,0.05
3738,Greg Hastings' Tournament Paintball,0.46,0.06,0.0,0.02
3739,Hello Kitty: Big City Dreams,0.42,0.08,0.0,0.04
3740,Star Fox Command,0.39,0.01,0.1,0.04
3741,World Soccer Winning Eleven 7 International (JP version),0.0,0.0,0.54,0.0
3742,ESPN NBA Basketball,0.26,0.21,0.0,0.07
3743,Inazuma Eleven GO,0.0,0.05,0.48,0.0
3744,Over the Hedge,0.45,0.02,0.0,0.07
3745,Mat Hoffman's Pro BMX,0.3,0.2,0.0,0.04
3746,Lego Star Wars: The Force Awakens,0.14,0.32,0.0,0.08
3747,Epic Mickey 2: The Power of Two,0.32,0.17,0.0,0.04
3748,Popeye,0.5,0.03,0.0,0.01
3749,Magician's Quest: Mysterious Times,0.04,0.01,0.48,0.0
3750,The Hobbit,0.26,0.2,0.0,0.07
