,Name,NA_Sales,EU_Sales,JP_Sales,Other_Sales
44,Grand Theft Auto V,3.8,5.81,0.36,2.02
45,Pokemon HeartGold/Pokemon SoulSilver,4.4,2.77,3.96,0.77
46,Super Mario 64,6.91,2.85,1.91,0.23
47,Gran Turismo 4,3.01,0.01,1.1,7.53
48,Super Mario Galaxy,6.16,3.4,1.2,0.76
49,Pokemon Omega Ruby/Pokemon Alpha Sapphire,4.23,3.37,3.08,0.65
50,Super Mario Land 2: 6 Golden Coins,6.16,2.04,2.69,0.29
51,Grand Theft Auto IV,6.76,3.1,0.14,1.03
52,Gran Turismo,4.02,3.87,2.54,0.52
53,Super Mario 3D Land,4.89,2.99,2.13,0.78
54,Gran Turismo 5,2.96,4.88,0.81,2.12
55,Call of Duty: Modern Warfare 2,4.99,3.69,0.38,1.63
56,Grand Theft Auto IV,4.76,3.76,0.44,1.62
57,Super Mario All-Stars,5.99,2.15,2.12,0.29
58,Pokemon FireRed/Pokemon LeafGreen,4.34,2.65,3.15,0.35
59,Super Mario 64,5.08,3.11,1.25,0.98
60,Just Dance 3,6.05,3.15,0.0,1.07
61,Call of Duty: Ghosts,6.72,2.63,0.04,0.82
62,Halo: Reach,7.03,1.98,0.08,0.78
63,Mario Kart 64,5.55,1.94,2.23,0.15
64,New Super Mario Bros. 2,3.66,3.07,2.47,0.63
65,Halo 4,6.63,2.36,0.04,0.73
66,Final Fantasy VII,3.01,2.47,3.28,0.96
67,Call of Duty: Ghosts,4.09,3.73,0.38,1.38
68,Just Dance 2,5.84,2.89,0.01,0.78
69,Gran Turismo 2,3.88,3.42,1.69,0.5
70,Call of Duty 4: Modern Warfare,5.91,2.38,0.13,0.9
71,Donkey Kong Country,4.36,1.71,3.0,0.23
72,Minecraft,5.58,2.83,0.02,0.77
73,Animal Crossing: New Leaf,2.01,2.32,4.36,0.41
74,Mario Party DS,4.46,1.88,1.98,0.7
75,The Elder Scrolls V: Skyrim,5.03,2.86,0.1,0.85
76,Super Mario Kart,3.54,1.24,3.81,0.18
77,FIFA 16,1.11,6.06,0.06,1.26
78,Wii Party,1.79,3.53,2.49,0.68
79,Halo 2,6.82,1.53,0.05,0.08
